Id,No_REG,event_date,Y,Season,Y-M,cod_mun,Dep,Prov,Mun,Comun,N_comun,p_afect,f_afect,Hec_agr,N_cattle,days,POBLACION,MacroRegID,MacroReg
"636",2004-00011,02/01/2004,"2004",DJF,Jan-2004,"40101",Oruro,Cercado,Oruro,Pisaqueri,"1","350","70",0,0,NaN,264943,"7",Altiplano
"741",2004-00116,02/02/2004,"2004",DJF,feb-04,"41001",Oruro,Saucari,Toledo,"Collpahuma, Sica Ullami, Piñapñani, Challapata, Villconi de Quillacas y Querarani","6","9075","1815",0,0,NaN,10149,"7",Altiplano
"834",2004-00210,28/02/2004,"2004",DJF,feb-04,"40301",Oruro,Carangas,Corque,Villa Nueva,"1","0","0",0,0,NaN,9221,"7",Altiplano
"835",2004-00211,28/02/2004,"2004",DJF,feb-04,"40103",Oruro,Cercado,El Choro,"Santo Tomas, Cerca Rancho","2","400","80",0,0,NaN,8725,"7",Altiplano
"837",2004-00213,28/02/2004,"2004",DJF,feb-04,"40101",Oruro,Cercado,Oruro,"Zona Norte Challacollo, San Pedro de Challacollo, Challantia-Caracila, Rancho Grande, Palquiri, Cochi Piacala y Canllapata","6","2180","436",0,0,NaN,264943,"7",Altiplano
"838",2004-00214,28/02/2004,"2004",DJF,feb-04,"40101",Oruro,Cercado,Oruro,"Challapampa Grande, Challapampa Chico","2","330","66",0,0,NaN,264943,"7",Altiplano
"839",2004-00215,28/02/2004,"2004",DJF,feb-04,"40802",Oruro,Ladislao Cabrera,Pampa Aullagas,Vila Jipiña y Ichalula,"2","230","46",0,0,NaN,2973,"7",Altiplano
"861",2004-00237,02/03/2004,"2004",MAM,mar-04,"70703",Santa Cruz,Cordillera,Cabezas,"San Lorenzo Brecha 7, Pampa El Coscal, Tunalito, Yateirenda, Agua Salada, La Cuta, La Ripiera, San Juan de Camargo, Eduardo Avaroa, Abapo Viejo, Cabezas, barrio Ferroviario, Cabezas, Vaca Guzmán, Cabezas, barrio Fátima, La Florida, Porvenir 85 y Rio Seco","17","2855","571",2239,0,NaN,26434,"5",Chaco
"862",2004-00238,02/03/2004,"2004",MAM,mar-04,"70702",Santa Cruz,Cordillera,Charagua,Nueva Esperanza,"1","80","16",60.5,0,NaN,32186,"5",Chaco
"863",2004-00239,02/03/2004,"2004",MAM,mar-04,"70705",Santa Cruz,Cordillera,Gutiérrez,Agua Buena,"1","50","10",13.5,0,NaN,12273,"5",Chaco
"873",2004-00249,09/03/2004,"2004",MAM,mar-04,"70403",Santa Cruz,Ichilo,Yapacaní,Yapacaní,"1","0","0",0,0,NaN,50558,"4",Chiquitania
"878",2004-00254,12/03/2004,"2004",MAM,mar-04,"20303",La Paz,Pacajes,Calacoto,"Jacha, Suyu, Pakakaqi","3","0","0",0,0,NaN,9879,"7",Altiplano
"898",2004-00274,15/03/2004,"2004",MAM,mar-04,"70706",Santa Cruz,Cordillera,Camiri,Chorety,"1","5","1",0,0,NaN,33838,"5",Chaco
"903",2004-00279,16/03/2004,"2004",MAM,mar-04,"60601",Tarija,Burnet O´Connor,Entre Rios (La Moreta),"San Simón, Taquillos, Lagitas, Agua Rica, Potrerillos y Timboy","6","0","0",0,0,NaN,21991,"5",Chaco
"961",2004-00336,18/03/2004,"2004",MAM,mar-04,"10801",Chuquisaca,Belisario Boeto,Villa Serrano,Villa Serrano,"1","1940","388",0,0,NaN,11161,"2",Valles
"963",2004-00338,18/03/2004,"2004",MAM,mar-04,"41601",Oruro,Nor Carangas,Huayllamarca,"San Miguel, Entre Ríos","2","0","0",0,0,NaN,5502,"7",Altiplano
"980",2004-00355,18/03/2004,"2004",MAM,mar-04,"70702",Santa Cruz,Cordillera,Charagua,7 comunidades Norte Charagua,"7","4405","881",0,0,NaN,32186,"5",Chaco
"981",2004-00356,19/03/2004,"2004",MAM,mar-04,"10502",Chuquisaca,Hernando Siles,Huacareta,Varias comunidades,"-1","5545","1109",0,0,NaN,8349,"5",Chaco
"989",2004-00364,21/03/2004,"2004",MAM,mar-04,"30601",Cochabamba,Arque,Arque,Micayani Chico,"1","300","60",0,0,NaN,10597,"2",Valles
"999",2004-00374,22/03/2004,"2004",MAM,mar-04,"70703",Santa Cruz,Cordillera,Cabezas,"Zanja Honda, Basilio, Cabezas","3","3340","668",78,0,NaN,26434,"5",Chaco
"1001",2004-00376,23/03/2004,"2004",MAM,mar-04,"31301",Cochabamba,Mizque,Mizque,Varias comunidades,"-1","0","0",0,0,NaN,26900,"2",Valles
