Data;Thermometer
01/03/20 09:50;8.3
01/03/20 09:51;8.2
01/03/20 09:52;8.3
01/03/20 09:53;8.2
01/03/20 09:54;8.2
01/03/20 09:55;8.1
01/03/20 09:56;8.2
01/03/20 09:57;8.1
01/03/20 09:58;8
01/03/20 09:59;8
01/03/20 10:00;8
01/03/20 10:01;8
01/03/20 10:02;8
01/03/20 10:03;8
01/03/20 10:04;8
01/03/20 10:05;8
01/03/20 10:06;8
01/03/20 10:07;8
01/03/20 10:08;8
01/03/20 10:09;8
01/03/20 10:10;8
01/03/20 10:11;8
01/03/20 10:12;8
01/03/20 10:13;8
01/03/20 10:14;8
01/03/20 10:15;8
01/03/20 10:16;8
01/03/20 10:17;8.1
01/03/20 10:18;8.1
01/03/20 10:19;8.1
01/03/20 10:20;8
01/03/20 10:21;8
01/03/20 10:22;8
01/03/20 10:23;7.9
01/03/20 10:24;7.9
01/03/20 10:25;7.9
01/03/20 10:26;7.9
01/03/20 10:27;7.9
01/03/20 10:28;7.9
01/03/20 10:29;7.9
01/03/20 10:30;8
01/03/20 10:31;8
01/03/20 10:32;8
01/03/20 10:33;8
01/03/20 10:34;8
01/03/20 10:35;8
01/03/20 10:36;8.1
01/03/20 10:37;8
01/03/20 10:38;8.1
01/03/20 10:39;8
01/03/20 10:40;8
01/03/20 10:41;8
01/03/20 10:42;8
01/03/20 10:43;8
01/03/20 10:44;7.9
01/03/20 10:45;7.9
01/03/20 10:46;7.8
01/03/20 10:47;7.8
01/03/20 10:48;7.8
01/03/20 10:49;7.8
01/03/20 10:50;7.9
01/03/20 10:51;7.9
01/03/20 10:52;8
01/03/20 10:53;8
01/03/20 10:54;8
01/03/20 10:55;8
01/03/20 10:56;7.9
01/03/20 10:57;7.9
01/03/20 10:58;7.9
01/03/20 10:59;7.9
01/03/20 11:00;7.9
01/03/20 11:01;7.9
01/03/20 11:02;7.9
01/03/20 11:03;7.9
01/03/20 11:04;7.8
01/03/20 11:05;7.8
01/03/20 11:06;7.8
01/03/20 11:07;7.8
01/03/20 11:08;7.8
01/03/20 11:09;7.8
01/03/20 11:10;7.8
